,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,subject,time,label
9,4.511362,8.256774,2.820538,-0.002247848,0.001546742,0.01113674,subject_001_01,0.25,0
58,4.525329,8.293128,2.907181,0.0,-0.01176959,-0.02212231,subject_001_01,1.475,0
68,4.477341,8.325502,2.886421,0.005555556,0.0128753,-0.01164716,subject_001_01,1.725,0
70,4.322576,8.252272,2.93,-0.007777778,-0.01032977,-0.02444444,subject_001_01,1.775,0
71,4.377197,8.352399,2.940404,-0.009345615,0.001172519,-0.02287661,subject_001_01,1.8,0
110,4.250111,8.406178,3.027978,-0.01424582,0.007917413,-0.005158304,subject_001_01,2.775,0
111,4.334261,8.519304,3.003565,-0.007142769,0.002698324,-0.006698448,subject_001_01,2.8,0
142,4.40911,8.390712,2.944733,-0.00193181,0.01159727,-0.004444444,subject_001_01,3.575,0
143,4.214988,8.452665,3.012005,0.0006540403,-0.01006566,-0.004313131,subject_001_01,3.6,0
146,3.811802,8.572346,2.942926,0.01333333,0.01771199,0.07630222,subject_001_01,3.675,0
152,3.90355,8.078126,3.295514,0.02275586,-0.08392112,0.07554782,subject_001_01,3.825,0
188,2.379819,8.964622,2.574079,0.2835991,-0.211425,-0.6242269,subject_001_01,4.725,0
192,1.29787,9.018853,1.980164,0.4204164,-0.1684706,-0.5015199,subject_001_01,4.825,0
206,1.332359,9.838309,0.6494363,0.4955655,0.1863791,-0.08379956,subject_001_01,5.175,0
207,1.789608,9.612598,0.4401306,0.4823395,0.2528644,-0.073985,subject_001_01,5.2,0
238,2.546381,12.71183,-0.487925,-1.071352,-0.758879,0.02851907,subject_001_01,5.975,0
258,1.543742,5.835572,4.536743,-0.2212609,-0.09253683,-0.1262996,subject_001_01,6.475,0
259,0.8471369,4.704079,4.821068,-0.3445338,-0.1871603,-0.05992164,subject_001_01,6.5,0
277,2.030019,7.663475,7.323475,0.02149376,-0.01008119,-0.2638821,subject_001_01,6.95,0
294,0.8415638,8.219619,4.541209,0.5233022,0.08260955,0.1414362,subject_001_01,7.375,0
